title,image_url,image_file
Sapiens: A Brief History of Humankind,http://books.toscrape.com/media/cache/be/a5/bea5697f2534a2f86a3ef27b5a8c12a6.jpg,covers/Sapiens: A Brief History of Humankind.jpg
Set Me Free,http://books.toscrape.com/media/cache/5b/88/5b88c52633f53cacf162c15f4f823153.jpg,covers/Set Me Free.jpg
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),http://books.toscrape.com/media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg,covers/Scott Pilgrim's Precious Little Life (Scott Pilgrim #1).jpg
Rip it Up and Start Again,http://books.toscrape.com/media/cache/81/c4/81c4a973364e17d01f217e1188253d5e.jpg,covers/Rip it Up and Start Again.jpg
Chase Me (Paris Nights #2),http://books.toscrape.com/media/cache/9c/2e/9c2e0eb8866b8e3f3b768994fd3d1c1a.jpg,covers/Chase Me (Paris Nights #2).jpg
Black Dust,http://books.toscrape.com/media/cache/44/cc/44ccc99c8f82c33d4f9d2afa4ef25787.jpg,covers/Black Dust.jpg
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,http://books.toscrape.com/media/cache/2e/98/2e98c332bf8563b584784971541c4445.jpg,covers/Worlds Elsewhere: Journeys Around Shakespeareâs Globe.jpg
The Four Agreements: A Practical Guide to Personal Freedom,http://books.toscrape.com/media/cache/0f/7e/0f7ee69495c0df1d35723f012624a9f8.jpg,covers/The Four Agreements: A Practical Guide to Personal Freedom.jpg
The Elephant Tree,http://books.toscrape.com/media/cache/5d/7e/5d7ecde8e81513eba8a64c9fe000744b.jpg,covers/The Elephant Tree.jpg
Sophie's World,http://books.toscrape.com/media/cache/65/71/6571919836ec51ed54f0050c31d8a0cd.jpg,covers/Sophie's World.jpg
Private Paris (Private #10),http://books.toscrape.com/media/cache/9d/05/9d0533bae1578846d728a82913b95c26.jpg,covers/Private Paris (Private #10).jpg
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,http://books.toscrape.com/media/cache/9c/46/9c463c7631c82401160fd3b554b8f0e1.jpg,covers/#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe..jpg
